,MSA,Total Population,population,collegegrad,sciencegrad,scienceugrad,houseprice,commute,violentcrime,patents,Kauffman,Site selection,Total Sq Feet,Underused Sq Feet,acres land,Top 50 Grad programs,govt at univ R&D per capita,Longitude,Latitude
2,"Abilene, TX",170860,83623,0.2,0,2.5,135839,0.83,3.962308407,0.026220039,0,0,3450883,0,3770,0,7,-99.665323,32.576489
3,"Akron, OH",702221,365524,0.31,0,13,172709,0.7,2.666474819,0.619975984,0,1,1376132,43992,111,4,241,-81.524017,41.04349
4,"Albany, GA",152506,77076,0.19,0,0.5,135943,0.77,6.345105648,0.050919496,0,0,7117736,2568,3570,0,36,-84.176751,31.560674
5,"Albany, OR",122849,62800,0.22,0,0,218227,0.75,,0.359711587,0,0,NA,,,0,0,-123.139526,44.65345
6,"Albany-Schenectady-Troy, NY",881839,460119,0.37,4,48.3,237213,0.68,2.734059095,1.103995085,0,0,6079857,386733,4643,15,1091,-73.69179,42.72841
7,"Albuquerque, NM",913924,482135,0.32,0,14.2,237665,0.69,7.233643055,0.381848633,0,0,17344434,205014,38109,8,518,-106.651137,35.084491
8,"Alexandria, LA",154789,79856,0.19,0,1.1,159123,0.75,8.004445076,0.028070809,0,0,261417,0,2455,0,0,-92.44514,31.31129
9,"Allentown-Bethlehem-Easton, PA-NJ",835652,437495,0.28,0,31.5,229476,0.63,1.833299041,0.535722315,0,0,127956,187.5,0,4,173,-75.458171,40.626343
10,"Altoona, PA",124650,63930,0.18,0,0.3,136047,0.79,2.374649048,0.068777174,0,0,351410,0,28,0,0,-78.349874,40.489433
11,"Amarillo, TX",263491,134612,0.24,0,1.5,160277,0.84,5.590323925,0.095253162,0,0,1774284,25457,20667,0,42,-101.831297,35.221997
12,"Ames, IA",97090,40522,0.55,5,44.6,194350,0.84,1.132969379,1.204567671,0,0,699244,3050,374,23,4906,-93.600254,42.037879
13,"Ann Arbor, MI",364709,179858,0.55,28,138.6,288524,0.68,2.815943718,2.502851486,0,0,1499623,0,55,48,6645,-83.849042,42.266638
14,"Anniston-Oxford-Jacksonville, AL",114611,59256,0.17,0,0.7,147980,0.67,6.273394585,0.077948183,0,0,11224533,273591,46375,0,9,-85.785722,33.753157
15,"Appleton, WI",234079,126226,0.28,0,8.1,184752,0.8,1.367059827,0.485366225,0,0,16166,0,0,0,4,-88.370856,44.275702
16,"Asheville, NC",452319,237213,0.33,0,5.5,237545,0.75,1.989746213,0.17945008,0,0,1351801,4130,110,0,14,-82.567281,35.602711
17,"Athens-Clarke County, GA",206360,97394,0.37,12,39.1,221846,0.75,2.883310795,0.293103248,0,0,231979,14539,185,23,3614,-83.37794,33.96095
18,"Atlanta-Sandy Springs-Roswell, GA",5790210,3138837,0.38,16,110.5,256465,0.49,3.936778545,0.396376491,1,1,16331676,5088,642,32,478,-84.495858,33.796385
19,"Atlantic City-Hammonton, NJ",270991,140853,0.28,0,3.4,255090,0.72,3.922639608,0.052131005,0,0,786352,7326,10026,0,3,-74.47876,39.375851
