Place Name,City,Latitude (long),Longitude (long),Latitude (short),Longitude (short),Overall,Population 25-64,Percent College Grad,Top Science Grad Programs,Top Science Undergraduates,Patents per Worker,Average House Price,Violent Crimes per Capita,Commute Less than 30 min,Grouped?
"Rochester, NY",Rochester,43.157285,-77.615214,43.157285,-77.615214,1,26,30,26,12,3,19,28,35,
"Pittsburgh, PA",Pittsburgh,40.4416941,-79.9900861,40.4416941,-79.9900861,2,10,23,7,5,30,35,37,93,
"Syracuse/Utica-Rome, NY",Syracuse,0,0,43.0481221,-76.1474244,3,29,64,27,22,44,9,33,27,Y
"Columbus, OH",Columbus,39.9622601,-83.0007065,39.9622601,-83.0007065,4,15,18,8,11,48,71,34,74,
"Cleveland-Elyria, OH",Cleveland,41.38001,-82.068648,41.5051613,-81.6934446,5,16,53,18,10,25,33,49,83,
"Bloomington/Champaign-Urbana, IL",Bloomington,0,0,39.1670396,-86.5342881,6,73,2,3,4,19,24,22,6,Y
"Indianapolis-Carmel-Anderson/Lafayette-West Lafayette, IN",Indianapolis,0,0,39.7683331,-86.1583502,7,11,29,5,8,27,46,90,76,Y
"Ames/Des Moines-West Des Moines, IA",Ames,0,0,42.0267703,-93.6170554,8,44,7,20,19,21,61,35,18,Y
"Binghamton/Ithaca, NY",Binghamton,0,0,42.096968,-75.914341,9,80,22,4,1,7,10,13,7,Y
"Cincinnati, OH-KY-IN",Cincinnati,39.1014537,-84.5124602,39.1014537,-84.5124602,10,13,33,62,26,22,56,26,80,
"St. Louis, MO-IL",St. Louis,38.6272733,-90.1978889,38.6272733,-90.1978889,11,6,26,14,14,45,66,68,89,
"Atlanta-Sandy Springs-Roswell, GA",Atlanta,33.8764061,-84.3801687,33.7490987,-84.3901849,12,3,9,6,6,37,98,65,102,
"Buffalo-Cheektowaga-Niagara Falls, NY",Buffalo,0,0,42.8867166,-78.8783922,13,24,41,36,36,53,20,69,38,
"Albany-Schenectady-Troy, NY",Albany,42.75577755,-73.7741523508107,42.6511674,-73.754968,14,33,11,22,20,5,82,30,70,
"Dallas-Fort Worth-Arlington, TX",Dallas,32.760292,-97.161647,32.7762719,-96.7968559,15,1,28,32,34,28,95,45,99,
"Akron/Canton-Massillon, OH",Akron,0,0,41.083064,-81.518485,16,25,75,82,50,17,16,29,57,Y
"Grand Rapids-Wyoming, MI",Grand Rapids,0,0,42.9632405,-85.6678639,17,27,40,99,32,31,47,41,33,
"Dayton, OH",Dayton,39.7589478,-84.1916069,39.7589478,-84.1916069,18,40,83,51,51,35,5,31,34,
"Houston-The Woodlands-Sugar Land, TX",Houston,29.8977742,-95.442906,29.7589382,-95.3676974,19,2,37,15,16,24,96,89,101,
"Cedar Rapids/Iowa City, IA",Cedar Rapids,41.9758872,-91.6704053,41.9758872,-91.6704053,20,70,8,29,24,15,65,12,17,Y
"Janesville-Beloit/Madison, WI",Janesville,0,0,42.6829765,-89.0226793,21,38,3,1,2,12,99,96,40,Y
"Tucson, AZ",Tucson,32.2218917,-110.9262353,32.2218917,-110.9262353,22,31,38,13,18,9,68,70,77,
