"","MSA","data.Population.25.64","data.Percent.College.Grad","data.Top.Science.Grad.Programs","data.Top.Science.Undergraduates","data.Patents.per.Worker","data.Average.House.Price","data.Violent.Crimes.per.Capita","data.Commute.Less.than.30.min","Longitude","Latitude","Year","MSA code","closest MSA in hours","Total Population","Working Age Population","Percent College Grad","Top 20 Grad Programs","Ugrads to Top 20 per Year","House Price","% Commute < 30 minutes","Viol Crime per 1000","Patent /1000 work","Kauffman","Site selection","Total Sq Feet","Underused Sq Feet","acres land","Top 50 Grad programs","govt at univ R&D per capita"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Akron/Canton-Massillon, OH",25,75,82,50,17,16,29,57,-81.52151,40.79672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Albany-Schenectady-Troy, NY",33,11,22,20,5,82,30,70,-73.69179,42.72841,2016,10580,"<1 to pittsfield","881839","460119","0.37","4","48.3","237213","0.68","2.734059095","1.103995085",0,"0",6079857,"386733","4643","15","1091"
"4","Albuquerque, NM",32,39,98,55,33,84,101,69,-106.651137,35.084491,2016,10740,"1 to santa fe","913924","482135","0.32","0","14.2","237665","0.69","7.233643055","0.381848633",0,"0",17344434,"205014","38109","8","518"
"5","Allentown-Bethlehem-Easton, PA-NJ",36,70,60,29,20,78,7,88,-75.458171,40.626343,2016,10900,"1.5 to bloomsberg","835652","437495","0.28","0","31.5","229476","0.63","1.833299041","0.535722315",0,"0",127956,"187.5","0","4","173"
"6","Ames/Des Moines-West Des Moines, IA",44,7,20,19,21,61,35,18,-93.625637,41.519276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Ann Arbor/Jackson, MI",60,1,2,3,2,94,47,67,-84.40135,42.24587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Appleton/Green Bay/Oshkosh, WI",42,82,75,48,46,37,4,15,-88.530896,44.012378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Asheville, NC",65,32,61,82,74,83,8,36,-82.567281,35.602711,2016,11700,"nothing","452319","237213","0.33","0","5.5","237545","0.75","1.989746213","0.17945008",0,"0",1351801,"4130","110","0","14"
"10","Atlanta-Sandy Springs-Roswell, GA",3,9,6,6,37,98,65,102,-84.495858,33.796385,2016,12060,"1.75 to athens; 1.5 to macon; 1.5 to  Rome","5790210","3138837","0.38","16","110.5","256465","0.49","3.936778545","0.396376491",1,"1",16331676,"5088","642","32","478"
"11","Atlantic City-Hammonton, NJ",90,80,46,87,101,97,64,52,-74.47876,39.375851,2016,12100,"","270991","140853","0.28","0","3.4","255090","0.72","3.922639608","0.052131005",0,"0",786352,"7326","10026","0","3"
"12","Auburn-Opelika/Columbus, GA-AL",66,65,71,62,88,31,60,49,-84.97823,32.472864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Baton Rouge, LA",37,89,28,42,89,62,81,86,-91.185607,30.44924,2016,12940,"1.75 to laffayette; 1.75 to NO","835175","433689","0.27","3","22.1","209586","0.64","5.066962242","0.109516859",0,"1",562423,"31620","535","13","1009"
"14","Battle Creek/Kalamazoo-Portage, MI",68,59,44,40,52,13,6,23,-85.58,42.20115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Binghamton/Ithaca, NY",80,22,4,1,7,10,13,7,-76.483999,42.402794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Birmingham-Hoover, AL",23,55,31,61,93,52,88,91,-86.764855,33.572334,2016,13820,"none","1147417","606349","0.30","2","12.5","200532","0.61","5.408571243","0.091721557",0,"0",2726514,"0","159","8","938"
"17","Blacksburg-Christiansburg-Radford/Roanoke, VA",62,67,11,13,29,73,9,85,-79.88735,37.496556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
