"data.overall_rank","msa_rank","states"
61,"Birmingham-Hoover","AL"
90,"Daphne-Fairhope-Foley","AL"
69,"Huntsville","AL"
94,"Montgomery","AL"
99,"Tuscaloosa","AL"
82,"Little Rock-North Little Rock-Conway","AR"
59,"Fayetteville-Springdale-Rogers","AR-MO"
23,"Tucson","AZ"
68,"Gainesville","FL"
74,"Jacksonville","FL"
50,"Orlando-Kissimmee-Sanford","FL"
79,"Palm Bay-Melbourne-Titusville","FL"
95,"Pensacola-Ferry Pass-Brent","FL"
88,"Tallahassee","FL"
35,"Tampa-St. Petersburg-Clearwater","FL"
13,"Atlanta-Sandy Springs-Roswell","GA"
99,"Savannah","GA"
101,"Warner Robins","GA"
81,"Columbus","GA-AL"
7,"Des Moines-West Des Moines","IA"
20,"Iowa City","IA"
72,"Davenport-Moline-Rock Island","IA-IL"
41,"Boise City","ID"
73,"Idaho Falls","ID"
5,"Champaign-Urbana","IL"
84,"Decatur","IL"
58,"Peoria","IL"
38,"Bloomington","IN"
55,"Fort Wayne","IN"
10,"Indianapolis-Carmel-Anderson","IN"
44,"South Bend-Mishawaka","IN-MI"
40,"Manhattan","KS"
46,"Wichita","KS"
28,"Lexington-Fayette","KY"
51,"Louisville/Jefferson County","KY-IN"
77,"Baton Rouge","LA"
63,"New Orleans-Metairie","LA"
60,"Springfield","MA"
30,"Ann Arbor","MI"
29,"Battle Creek","MI"
24,"Detroit-Warren-Dearborn","MI"
11,"Grand Rapids-Wyoming","MI"
31,"Lansing-East Lansing","MI"
89,"Saginaw","MI"
76,"Rochester","MN"
86,"Duluth","MN-WI"
52,"Columbia","MO"
92,"Springfield","MO"
12,"St. Louis","MO-IL"
26,"Kansas City","MO-KS"
80,"Jackson","MS"
67,"Asheville","NC"
39,"Greensboro-High Point","NC"
83,"Greenville","NC"
63,"Winston-Salem","NC"
32,"Charlotte-Concord-Gastonia","NC-SC"
70,"Fargo","ND-MN"
48,"Lincoln","NE"
25,"Omaha-Council Bluffs","NE-IA"
102,"Atlantic City-Hammonton","NJ"
62,"Albuquerque","NM"
16,"Albany-Schenectady-Troy","NY"
15,"Buffalo-Cheektowaga-Niagara Falls","NY"
8,"Ithaca","NY"
1,"Rochester","NY"
3,"Utica-Rome","NY"
14,"Akron","OH"
6,"Cleveland-Elyria","OH"
4,"Columbus","OH"
19,"Dayton","OH"
54,"Toledo","OH"
9,"Cincinnati","OH-KY-IN"
33,"Oklahoma City","OK"
47,"Tulsa","OK"
78,"Eugene","OR"
65,"Erie","PA"
43,"Harrisburg-Carlisle","PA"
71,"Lancaster","PA"
2,"Pittsburgh","PA"
36,"Allentown-Bethlehem-Easton","PA-NJ"
66,"Columbia","SC"
37,"Greenville-Anderson-Mauldin","SC"
91,"Sioux Falls","SD"
98,"Johnson City","TN"
44,"Knoxville","TN"
53,"Nashville-Davidson--Murfreesboro--Franklin","TN"
96,"Chattanooga","TN-GA"
56,"Memphis","TN-MS-AR"
57,"College Station-Bryan","TX"
17,"Dallas-Fort Worth-Arlington","TX"
21,"Houston-The Woodlands-Sugar Land","TX"
87,"Lubbock","TX"
41,"San Antonio-New Braunfels","TX"
33,"Ogden-Clearfield","UT"
97,"Lynchburg","VA"
49,"Roanoke","VA"
93,"Kennewick-Richland","WA"
74,"Spokane-Spokane Valley","WA"
18,"Green Bay","WI"
22,"Janesville-Beloit","WI"
27,"Racine","WI"
85,"Wheeling","WV-OH"
