year,msa code,msa name,closest MSA in hours,Total,working age,Percent,Top 20 grad,Ugrads to top,House,% Commute,Viol Crime,Patent/,Kauffman,Site ,total sq feet,underused,acres,,Top 50 grad,gov't at Univ
,,,,population,population,College grad,programs,20 /year,Price,<30 minutes,Per 1000,1000 work,,Selection,,square feet,land,,programs,R&D per cap
2016,10180,"Abilene, TX",2 to ft worth,170860,83623,0.20,0,2.5,135839,0.83,3.962308407,0.026220039,0,0,3450883,0,3770,,0,7
2016,10420,"Akron, OH",< 1 to cleveland; 0.5 to canton,702221,365524,0.31,0,13.0,172709,0.70,2.666474819,0.619975984,0,1,1376132,43992,111,,4,241
2016,10500,"Albany, GA",1.75 to macon,152506,77076,0.19,0,0.5,135943,0.77,6.345105648,0.050919496,0,0,7117736,2568,3570,,0,36
2016,10540,"Albany, OR",0.5 to salem,122849,62800,0.22,0,0.0,218227,0.75,,0.359711587,0,0,,,,,0,0
2016,10580,"Albany-Schenectady-Troy, NY",<1 to pittsfield,881839,460119,0.37,4,48.3,237213,0.68,2.734059095,1.103995085,0,0,6079857,386733,4643,,15,1091
2016,10740,"Albuquerque, NM",1 to santa fe,913924,482135,0.32,0,14.2,237665,0.69,7.233643055,0.381848633,0,0,17344434,205014,38109,,8,518
2016,10780,"Alexandria, LA",2 to NO or shreveport,154789,79856,0.19,0,1.1,159123,0.75,8.004445076,0.028070809,0,0,261417,0,2455,,0,0
2016,10900,"Allentown-Bethlehem-Easton, PA-NJ",1.5 to bloomsberg,835652,437495,0.28,0,31.5,229476,0.63,1.833299041,0.535722315,0,0,127956,187.5,0,,4,173
2016,11020,"Altoona, PA",2 to pittsburgh,124650,63930,0.18,0,0.3,136047,0.79,2.374649048,0.068777174,0,0,351410,0,28,,0,0
2016,11100,"Amarillo, TX",nothing,263491,134612,0.24,0,1.5,160277,0.84,5.590323925,0.095253162,0,0,1774284,25457,20667,,0,42
2016,11180,"Ames, IA",.75 to des moines,97090,40522,0.55,5,44.6,194350,0.84,1.132969379,1.204567671,0,0,699244,3050,374,,23,4906
2016,11460,"Ann Arbor, MI",1 to detroit,364709,179858,0.55,28,138.6,288524,0.68,2.815943718,2.502851486,0,0,1499623,0,55,,48,6645
2016,11500,"Anniston-Oxford-Jacksonville, AL",1 to birmingham,114611,59256,0.17,0,0.7,147980,0.67,6.273394585,0.077948183,0,0,11224533,273591,46375,,0,9
2016,11540,"Appleton, WI",0.75 to green bay,234079,126226,0.28,0,8.1,184752,0.80,1.367059827,0.485366225,0,0,16166,0,0,,0,4
2016,11700,"Asheville, NC",nothing,452319,237213,0.33,0,5.5,237545,0.75,1.989746213,0.17945008,0,0,1351801,4130,110,,0,14
2016,12020,"Athens-Clarke County, GA",1.75 to atlanta; 2 to macon,206360,97394,0.37,12,39.1,221846,0.75,2.883310795,0.293103248,0,0,231979,14539,185,,23,3614
2016,12060,"Atlanta-Sandy Springs-Roswell, GA",1.75 to athens; 1.5 to macon; 1.5 to  Rome,5790210,3138837,0.38,16,110.5,256465,0.49,3.936778545,0.396376491,1,1,16331676,5088,642,,32,478
2016,12100,"Atlantic City-Hammonton, NJ",,270991,140853,0.28,0,3.4,255090,0.72,3.922639608,0.052131005,0,0,786352,7326,10026,,0,3
2016,12220,"Auburn-Opelika, AL","0.75 to columbus, ga; <1 to montgomery",158991,77420,0.36,0,11.3,193955,0.67,2.441288233,0.245974541,0,0,94736,10215,46,,7,2366
