"","MSA","Longitude","Latitude"
"1","Rochester, NY",-77.684264,43.286024
"2","Pittsburgh, PA",-79.950968,40.47441
"3","Syracuse/Utica-Rome, NY",-75.45573,43.21285
"4","Columbus, OH",-83.013402,40.100924
"5","Cleveland-Elyria, OH",-81.596226,41.547929
"6","Bloomington/Champaign-Urbana, IL",-88.20727,40.11059
"7","Indianapolis-Carmel-Anderson/Lafayette-West Lafayette, IN",-86.884913,40.393226
"8","Ames/Des Moines-West Des Moines, IA",-93.625637,41.519276
"9","Binghamton/Ithaca, NY",-76.483999,42.402794
"10","Cincinnati, OH-KY-IN",-84.53822,39.166759
"11","St. Louis, MO-IL",-83.32553,35.169323
"12","Atlanta-Sandy Springs-Roswell, GA",-84.495858,33.796385
"13","Buffalo-Cheektowaga-Niagara Falls, NY",-76.50204,42.452683
"14","Albany-Schenectady-Troy, NY",-73.69179,42.72841
"15","Dallas-Fort Worth-Arlington, TX",-97.10807,32.73569
"16","Akron/Canton-Massillon, OH",-81.52151,40.79672
"17","Grand Rapids-Wyoming, MI",-85.5889,42.993317
"18","Dayton, OH",-84.268593,39.750471
"19","Houston-The Woodlands-Sugar Land, TX",-97.397205,30.406454
"20","Cedar Rapids/Iowa City, IA",-91.516902,41.666427
"21","Janesville-Beloit/Madison, WI",-89.423861,43.06956
"22","Tucson, AZ",-110.970869,32.217975
"23","Detroit-Warren-Dearborn, MI",-83.17631,42.32226
"24","Appleton/Green Bay/Oshkosh, WI",-88.530896,44.012378
"25","Omaha-Council Bluffs, NE-IA",-90.531307,39.729634
"26","Lexington-Fayette, KY",-84.45855,38.0498
"27","Kansas City, MO-KS",-123.147054,45.595946
"28","Milwaukee-Waukesha-West Allis/Racine, WI",-87.675979,42.727153
"29","Battle Creek/Kalamazoo-Portage, MI",-85.58,42.20115
"30","Ann Arbor/Jackson, MI",-84.40135,42.24587
"31","Lansing-East Lansing, MI",-84.56566,42.748301
"32","Logan/Ogden-Clearfield, UT-ID",-112.02605,41.11078
"33","Tampa-St. Petersburg-Clearwater, FL",-82.8001,27.96585
"34","Charlotte-Concord-Gastonia, NC-SC",-78.637846,37.087895
"35","Bloomington/Columbus, IN",-86.046816,38.880293
"36","Greenville-Anderson-Mauldin, SC",-82.473846,34.951295
"37","Allentown-Bethlehem-Easton, PA-NJ",-74.581378,40.169595
"38","Lawrence/Manhattan/Topeka, KS",-95.65368,39.053473
"39","Greensboro-High Point, NC",-79.748189,36.079657
"40","Niles-Benton Harbor/South Bend-Mishawaka, IN-MI",-86.209993,41.687512
"41","Oklahoma City, OK",-97.562817,35.491608
"42","Knoxville, TN",-83.92074,35.96064
"43","Blacksburg-Christiansburg-Radford/Roanoke, VA",-79.88735,37.496556
"44","Lincoln, NE",-96.823133,40.865142
