"Tech Hub Potential Ranking","Metropolitan Statistical Area (MSA)","State"
"61","Birmingham-Hoover","AL"
"90","Daphne-Fairhope-Foley/Mobile","AL"
"69","Huntsville","AL"
"94","Montgomery","AL"
"99","Tuscaloosa","AL"
"82","Little Rock-North Little Rock-Conway","AR"
"59","Fayetteville-Springdale-Rogers","AR-MO"
"23","Tucson","AZ"
"68","Gainesville","FL"
"74","Jacksonville","FL"
"50","Orlando-Kissimmee-Sanford","FL"
"78","Palm Bay-Melbourne-Titusville","FL"
"95","Pensacola-Ferry Pass-Brent","FL"
"88","Tallahassee","FL"
"35","Tampa-St. Petersburg-Clearwater","FL"
"13","Atlanta-Sandy Springs-Roswell","GA"
"99","Savannah","GA"
"101","Warner Robins","GA"
"81","Auburn-Opelika/Columbus","GA-AL"
"7","Ames/Des Moines-West Des Moines","IA"
"20","Cedar Rapids/Iowa City","IA"
"72","Davenport-Moline-Rock Island","IA-IL"
"41","Boise City","ID"
"73","Idaho Falls/Pocatello","ID"
"5","Bloomington/Champaign-Urbana","IL"
"84","Decatur/Springfield","IL"
"58","Peoria","IL"
"38","Bloomington/Columbus","IN"
"55","Fort Wayne","IN"
"10","Indianapolis-Carmel-Anderson/Lafayette-West Lafayette","IN"
"44","Niles-Benton Harbor/South Bend-Mishawaka","IN-MI"
"40","Lawrence/Manhattan/Topeka","KS"
"46","Wichita","KS"
"28","Lexington-Fayette","KY"
"51","Louisville/Jefferson County","KY-IN"
"77","Baton Rouge","LA"
"63","New Orleans-Metairie","LA"
"60","Springfield","MA"
"30","Ann Arbor/Jackson","MI"
"29","Battle Creek/Kalamazoo-Portage","MI"
"24","Detroit-Warren-Dearborn","MI"
"11","Grand Rapids-Wyoming","MI"
"31","Lansing-East Lansing","MI"
"89","Midland/Saginaw","MI"
"76","Rochester","MN"
"86","Duluth","MN-WI"
"52","Columbia/Jefferson City","MO"
"92","Springfield","MO"
"12","St. Louis","MO-IL"
"26","Kansas City","MO-KS"
"80","Jackson","MS"
"67","Asheville","NC"
"39","Greensboro-High Point","NC"
"83","Greenville/New Bern","NC"
"63","Winston-Salem","NC"
"32","Charlotte-Concord-Gastonia","NC-SC"
"70","Fargo","ND-MN"
"48","Lincoln","NE"
"25","Omaha-Council Bluffs","NE-IA"
"102","Atlantic City-Hammonton","NJ"
"62","Albuquerque","NM"
"16","Albany-Schenectady-Troy","NY"
"8","Binghamton/Ithaca","NY"
"15","Buffalo-Cheektowaga-Niagara Falls","NY"
"1","Rochester","NY"
"3","Syracuse/Utica-Rome","NY"
"14","Akron/Canton-Massillon","OH"
"6","Cleveland-Elyria","OH"
"4","Columbus","OH"
"19","Dayton","OH"
"54","Toledo","OH"
"9","Cincinnati","OH-KY-IN"
"33","Oklahoma City","OK"
"47","Tulsa","OK"
"78","Eugene","OR"
"65","Erie","PA"
"43","Harrisburg-Carlisle","PA"
"71","Lancaster","PA"
"2","Pittsburgh","PA"
"36","Allentown-Bethlehem-Easton","PA-NJ"
"66","Columbia","SC"
"37","Greenville-Anderson-Mauldin","SC"
"91","Sioux Falls","SD"
"98","Johnson City","TN"
"44","Knoxville","TN"
"96","Chattanooga","TN-GA"
"53","Clarksville/Nashville-Davidson-Murfreesboro-Franklin","TN-KY"
"56","Memphis","TN-MS-AR"
"57","College Station-Bryan","TX"
"17","Dallas-Fort Worth-Arlington","TX"
"21","Houston-The Woodlands-Sugar Land","TX"
"87","Lubbock","TX"
"41","San Antonio-New Braunfels","TX"
"33","Logan/Ogden-Clearfield","UT-ID"
"49","Blacksburg-Christiansburg-Radford/Roanoke","VA"
"97","Lynchburg","VA"
"93","Kennewick-Richland","WA"
"74","Spokane-Spokane Valley","WA"
"18","Appleton/Green Bay/Oshkosh-Neenah","WI"
"22","Janesville-Beloit/Madison","WI"
"27","Milwaukee-Waukesha-West Allis/Racine","WI"
"85","Morgantown/Wheeling","WV-OH"
