year,msa code,msa name,closest MSA in hours,Total,working age,Percent,Top 20 grad,Ugrads to top,House,% Commute,Viol Crime,Patent/,Kauffman,Site ,total sq feet,underused,acres,,Top 50 grad,gov't at Univ
,,,,population,population,College grad,programs,20 /year,Price,<30 minutes,Per 1000,1000 work,,Selection,,square feet,land,,programs,R&D per cap
,,,,,,,,,,,,,,,,,,,,
2016,11180,"Ames, IA",.75 to des moines,97090,40522,0.55,5,44.6,194350,0.84,1.132969379,1.204567671,0,0,699244,3050,374,,23,4906
2016,19780,"Des Moines-West Des Moines, IA",,634725,337922,0.37,0,7,211457,0.79,3.09582901,0.561880827,0,1,2793410,3780,2480,,0,5
,,,,,,,,,,,,,,,,,,,,
2016,12220,"Auburn-Opelika, AL","0.75 to columbus, ga; 1 to montgomery",158991,77420,0.36,0,11.3,193955,0.67,2.441288233,0.245974541,0,0,94736,10215,46,,7,2366
2016,17980,"Columbus, GA-AL",1.45 to warner robins,307816,158882,0.26,0,0.7,173270,0.76,4.560883999,0.052934702,0,0,67924544,0,179740,,0,5
2016,33860,"Montgomery, AL",1.5 to birmingham,376163,198558,0.28,0,3.2,179001,0.71,3.870396614,0.051427297,0,0,8155653,0,3301,,0,88
,,,,,,,,,,,,,,,,,,,,
2016,13980,"Blacksburg-Christiansburg-Radford, VA",0.75 to roanoke,183411,85589,0.35,11,62.6,214841,0.76,1.907657385,0.648949087,0,0,3640052,0,6812,,21,5
2016,40220,"Roanoke, VA",,312576,163381,0.26,0,3.4,229195,0.57,2.047792912,0.309589446,0,0,1428822,2786,235,,0,11
,,,,,,,,,,,,,,,,,,,,
2016,14010,"Bloomington, IL",1 to champaign; 0.75 to peoria; 1 to decatur; 1.25 to springfield,187326,93002,0.42,0,16.3,181663,0.82,,0.238394484,0,0,,,,,0,63
2016,16580,"Champaign-Urbana, IL","<1 to bloomington, IN; <1 to decatur",239872,111806,0.42,23,121.4,174567,0.83,4.298125744,0.942316651,0,0,164775,0,1,,44,4589
2016,19500,"Decatur, IL",,106550,52765,0.22,0,1.4,125040,0.87,3.725950241,0.181350678,0,0,8966,0,0,,0,0
,,,,,,,,,,,,,,,,,,,,
2016,16300,"Cedar Rapids, IA",0.75 to iowa city,267799,140050,0.33,0,8,201275,0.79,1.885742664,0.783928573,0,0,451155,0,4,,0,2
2016,26980,"Iowa City, IA",,168828,82079,0.49,3,33.4,231283,0.8,2.517354965,0.54621911,0,0,727317,0,15,,23,4632
2016,20220,"Dubuque, IA",1.25 to davenport; 1.25 to cedar rapids,97003,48511,0.29,0,4.1,192339,0.9,1.762832046,0.409580976,0,0,5678,0,0,,0,0
2016,19340,"Davenport-Moline-Rock Island, IA-IL",1.25 to dubuqe; 1.5 to cedar rapids,383352,196641,0.26,0,6.6,166486,0.8,3.505347729,0.280071646,0,0,7926688,0,1220,,0,26
,,,,,,,,,,,,,,,,,,,,
2016,12980,"Battle Creek, MI",0.5 to kalamazoo; 1 to lansing; 1.25 to grand rapids,134386,67399,0.2,0,6.2,132504,0.8,5.499084949,0.224313915,0,0,1799159,156553,532,,0,3
2016,28020,"Kalamazoo-Portage, MI", ,336877,164558,0.34,1,16.6,178623,0.77,4.523906231,0.360708237,0,0,784804,0,7778,,2,100
,,,,,,,,,,,,,,,,,,,,
2016,10420,"Akron, OH",< 1 to cleveland; 0.5 to canton,702221,365524,0.31,0,13,172709,0.7,2.666474819,0.619975984,0,1,1376132,43992,111,,4,241
2016,15940,"Canton-Massillon, OH","0.5 to akron, 1 to cleveland, 1 to youngstown; 1.25 to mansfield",401281,204513,0.23,0,3.5,160217,0.73,2.79367137,0.472320974,0,0,91472,0,0,,0,0
2016,17460,"Cleveland-Elyria, OH",,2055612,1076766,0.3,5,78.5,182174,0.64,3.320599079,0.463887006,1,0,5609452,163947,358,,18,474
,,,,,,,,,,,,,,,,,,,,
2016,10580,"Albany-Schenectady-Troy, NY",<1 to pittsfield,881839,460119,0.37,4,48.3,237213,0.68,2.734059095,1.103995085,0,0,6079857,386733,4643,,15,1091
2016,38340,"Pittsfield, MA",,126903,64463,0.34,0,35.5,276168,0.74,2.911109924,0.247492313,0,0,1018546,0,31,,0,74
,,,,,,,,,,,,,,,,,,,,
2016,11460,"Ann Arbor, MI",1 to detroit,364709,179858,0.55,28,138.6,288524,0.68,2.815943718,2.502851486,0,0,1499623,0,55,,48,6645
2016,19820,"Detroit-Warren-Dearborn, MI",,4297617,2297435,0.3,0,13,197168,0.59,5.329926491,0.831779838,1,0,10226916,0,3652,,3,145
,,,,,,,,,,,,,,,,,,,,
2016,11500,"Anniston-Oxford-Jacksonville, AL",1 to birmingham,114611,59256,0.17,0,0.7,147980,0.67,6.273394585,0.077948183,0,0,11224533,273591,46375,,0,9
2016,13820,"Birmingham-Hoover, AL",none,1147417,606349,0.3,2,12.5,200532,0.61,5.408571243,0.091721557,0,0,2726514,0,159,,8,938
,,,,,,,,,,,,,,,,,,,,
2016,11540,"Appleton, WI",0.75 to green bay,234079,126226,0.28,0,8.1,184752,0.8,1.367059827,0.485366225,0,0,16166,0,0,,0,4
2016,24580,"Green Bay, WI",see above,318236,168709,0.27,0,5.7,188417,0.78,1.989089847,0.137352049,0,0,81046,0,7,,0,7
