,msa,college_app,house_app,comm_app,crime_app,ugrad_app,grad_app,pop2564_app,patent_app,grad_rank,ugrad_rank,crime_rank,house_rank,comm_rank,college_rank,patent_rank,pop2564_rank,raw_rank,overall_rank,Longitude,Latitude
1,"Rochester, NY",0.337462693,170050.2188,0.752658486,2.677901268,762,3,560566,0.001807998,24,12,28,19,35,30,3,26,23.52777778,1,-77.684264,43.286024
2,"Pittsburgh, PA",0.346480489,183461.6563,0.598067641,2.920634747,1295,14,1249968,0.000444859,7,5,37,35,93,23,30,10,27.08333333,2,-79.950968,40.47441
3,"Utica-Rome, NY",0.291559815,161349.4063,0.773146808,2.820544481,481,3,489200,0.000367946,24,22,33,9,27,64,44,29,30.16666667,3,-75.45573,43.21285
4,"Columbus, OH",0.359651744,217983.9531,0.673453748,2.829596043,853,14,1108622,0.000349984,7,11,34,71,74,18,48,15,31.88888889,4,-83.013402,40.100924
5,"Cleveland-Elyria, OH",0.303161681,182173.7656,0.642607689,3.320599079,863,5,1076766,0.000520093,18,10,49,33,83,53,25,16,32.5,6,-81.596226,41.547929
6,"Champaign-Urbana, IL",0.422478855,177678.9531,0.82696712,2.413400888,1514,23,204808,0.000574085,3,4,22,24,6,2,19,73,32.44444444,5,-88.20727,40.11059
7,"Indianapolis-Carmel-Anderson, IN",0.338540226,194639.7188,0.661976933,5.511595249,979,18,1163790,0.00046807,5,8,90,46,76,29,27,11,32.97222222,10,-86.164591,39.771461
8,"Des Moines-West Des Moines, IA",0.386914134,209187.5938,0.792812049,2.835416317,568,5,378444,0.000561365,18,19,35,61,18,7,21,44,32.75,7,-93.615245,41.590993
9,"Ithaca, NY",0.350890964,162817.75,0.825136065,2.205092192,2142,22,167266,0.000914299,4,1,13,10,7,22,7,80,32.83333333,8,-76.483999,42.402794
10,"Cincinnati, OH-KY-IN",0.33088401,205150.5,0.651695609,2.585971117,410,0,1134241,0.000556502,46,26,26,56,80,33,22,13,32.91666667,9,-84.53822,39.166759
11,"St. Louis, MO-IL",0.34106341,214825.4688,0.620503008,4.2768507,708,9,1498066,0.000356995,14,14,68,66,89,26,45,6,35.02777778,12,-90.44341,38.64068
12,"Atlanta-Sandy Springs-Roswell, GA",0.37654826,256465.1719,0.488336742,3.936778545,1215,16,3138837,0.000409958,6,6,65,98,102,9,37,3,35.27777778,13,-84.495858,33.796385
13,"Buffalo-Cheektowaga-Niagara Falls, NY",0.31517005,171692.75,0.742903829,4.328727722,278,2,599076,0.000326779,30,36,69,20,38,41,53,24,35.44444444,15,-78.8784,42.537897
14,"Albany-Schenectady-Troy, NY",0.374347538,237213.3906,0.684055865,2.734059095,531,4,460119,0.001157422,22,20,30,82,70,11,5,33,36.05555556,16,-73.69179,42.72841
15,"Dallas-Fort Worth-Arlington, TX",0.339019567,253429.4688,0.546007395,3.189586401,304,2,3870460,0.000467528,30,34,45,95,99,28,28,1,36.88888889,17,-97.10807,32.73569
